"id","best-image","broader","description","type","label","manto-url","wikidata-url","url"
"dipinto","","","","concept","Dipinto","","","https://p-lod.org/id/dipinto"
"diptych","","","","concept","Diptych","","","https://p-lod.org/id/diptych"
"dipylon","","","","concept","","","","https://p-lod.org/id/dipylon"
"dirce","","mythological_figure","","concept","Dirce","","http://www.wikidata.org/entity/Q850192","https://p-lod.org/id/dirce"
"discus-thrower","","","","concept","Discus thrower","","http://www.wikidata.org/entity/Q13381689","https://p-lod.org/id/discus-thrower"
"disk","","","","concept","Disk","","","https://p-lod.org/id/disk"
"dog","","animal","","concept","Dog","","http://www.wikidata.org/entity/Q144","https://p-lod.org/id/dog"
"dolphin","","animal","","concept","Dolphin","","http://www.wikidata.org/entity/Q7369","https://p-lod.org/id/dolphin"
"dome","","","","concept","Dome","","http://www.wikidata.org/entity/Q12493","https://p-lod.org/id/dome"
"donkey","","animal","","concept","Donkey","","http://www.wikidata.org/entity/Q19707","https://p-lod.org/id/donkey"
"door","","architecture","","concept","Door","","http://www.wikidata.org/entity/Q36794","https://p-lod.org/id/door"
"doorway","","","","concept","Doorway","","","https://p-lod.org/id/doorway"
"dot___dotted","","","","concept","","","","https://p-lod.org/id/dot___dotted"
"dove","","bird","","concept","Dove","","http://www.wikidata.org/entity/Q2984138","https://p-lod.org/id/dove"
"dragon","","","","concept","","","","https://p-lod.org/id/dragon"
"drawer","","","","concept","Drawer","","http://www.wikidata.org/entity/Q223575","https://p-lod.org/id/drawer"
"drinking_horn","","","","concept","Drinking horn","","http://www.wikidata.org/entity/Q192771","https://p-lod.org/id/drinking_horn"
"drops","","","","concept","Drops","","http://www.wikidata.org/entity/Q185789","https://p-lod.org/id/drops"
"drum","luna_img_PALP_47089","musical_instrument","","concept","Drum","","http://www.wikidata.org/entity/Q11404","https://p-lod.org/id/drum"
"duck","","bird","","concept","Duck","","http://www.wikidata.org/entity/Q3736439","https://p-lod.org/id/duck"
"eagle","","bird","","concept","Eagle","","http://www.wikidata.org/entity/Q2092297","https://p-lod.org/id/eagle"
"eagle-griffin","","","","concept","Eagle-griffin","","http://www.wikidata.org/entity/Q130223","https://p-lod.org/id/eagle-griffin"
"earring","","","","concept","Earring","","","https://p-lod.org/id/earring"
"earrings","","","","concept","Earrings","","","https://p-lod.org/id/earrings"
"echo","","mythological_figure","","concept","Echo","","http://www.wikidata.org/entity/Q207368","https://p-lod.org/id/echo"
